Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1878213,-,-,-,31.25,34.78,2,268,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,11,30,773,145,597,7.6,14.9,996,61.65,232,4.6,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,12,30,780,138,584,7.5,15.4,996,59.1,238,4.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,13,30,751,125,505,7.3,15.6,996,57.91,243,4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,14,30,685,103,372,7.3,15.2,997,59.17,248,3.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,15,30,507,77,198,7.7,13.5,997,67.88,253,2.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,16,30,106,25,31,8.1,11.6,998,78.9,256,1.5,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,17,30,0,0,0,7.1,10.9,998,77.26,254,1.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,18,30,0,0,0,6.7,10.7,998,76.24,245,1.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,19,30,0,0,0,6.5,10.3,999,77.37,230,1.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,20,30,0,0,0,6.4,9.8,999,79.22,216,1.1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,21,30,0,0,0,6.3,9.1,999,82.74,204,1.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,22,30,0,0,0,6.3,8.6,999,85.19,192,1.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,23,30,0,0,0,6.1,8.1,999,87.26,186,1.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,0,30,0,0,0,5.9,7.9,999,87.26,185,1.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,1,30,0,0,0,5.7,7.8,999,86.61,186,1.4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,2,30,0,0,0,5.5,7.6,998,86.45,189,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,3,30,0,0,0,5.3,7.6,998,85.3,189,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,4,30,0,0,0,5.1,7.5,999,84.94,187,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,5,30,0,0,0,5,7.4,999,84.61,184,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,6,30,0,0,0,4.9,8,999,80.58,173,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,7,30,293,60,103,5.4,10,1000,73.17,160,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,8,30,583,100,285,5.5,12.6,1000,62.16,177,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,9,30,721,120,447,5.2,14.9,1000,52.3,203,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,10,30,791,130,561,4.6,16.4,999,45.39,209,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,11,30,830,128,615,4.2,17.2,998,41.97,219,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,12,30,824,127,599,3.9,17.7,997,39.81,241,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,13,30,784,119,518,3.6,17.7,997,39.14,269,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,14,30,691,106,379,3.6,16.9,997,41.21,293,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,15,30,513,79,203,6.1,14.5,997,57.23,315,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,16,30,105,27,33,6.4,11.9,997,69.22,332,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,17,30,0,0,0,5.4,10.6,997,69.99,340,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,18,30,0,0,0,5.2,9.8,997,72.81,347,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,19,30,0,0,0,5,9.3,997,74.51,353,1.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,20,30,0,0,0,4.9,9,996,75.25,355,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,21,30,0,0,0,5,9.3,996,74.71,354,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
