Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1880149,-,-,-,31.17,34.82,2,337,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,6,30,0,0,0,4.8,7.4,985,83.46,297,1.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,7,30,313,60,106,5.4,9.3,985,76.56,278,1.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,8,30,595,100,291,5.9,11.9,986,66.62,274,1.8,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,9,30,727,123,454,5.4,14.2,985,55.32,275,2.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,10,30,788,137,569,4.7,15.6,985,48.11,269,2.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,11,30,753,167,610,4.1,16.2,984,44.6,267,2.9,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,12,30,333,249,441,3.8,16.3,983,43.34,269,3.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,13,30,165,233,318,3.6,15.9,983,43.94,274,3.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,14,30,83,169,202,3.6,14.8,983,46.99,280,2.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,15,30,413,97,197,5.8,12.7,983,63.05,289,1.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,16,30,61,28,32,6.3,11,983,72.85,296,1.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,17,30,0,0,0,5.8,10.3,983,73.43,298,1.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,18,30,0,0,0,5.3,9.9,984,73.2,296,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,19,30,0,0,0,4.4,9.4,984,70.76,282,1.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,20,30,0,0,0,3.7,8.7,984,70.82,249,1.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,21,30,0,0,0,3.3,7.7,983,73.68,219,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,22,30,0,0,0,3.1,6.8,983,77.09,211,1.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,23,30,0,0,0,2.8,6.2,982,79.09,213,1.8,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,0,30,0,0,0,2.6,5.8,982,79.83,219,2.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,1,30,0,0,0,2.3,5.6,982,79.11,222,2.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,2,30,0,0,0,2,5,982,80.81,226,2.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,3,30,0,0,0,1.8,4.7,981,81.42,224,2.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,4,30,0,0,0,1.8,4.4,981,82.95,220,2.7,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,5,30,0,0,0,1.8,4.2,981,84.62,215,2.7,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,6,30,0,0,0,2.1,5.1,982,81,215,3.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,7,30,296,61,105,2.7,7.2,982,73.05,218,4.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,8,30,0,24,24,3,9.8,982,62.55,229,5.5,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,9,30,117,202,256,2.5,11.9,982,52.47,239,7.1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,10,30,722,161,557,2.2,13,982,47.86,241,7.9,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
