run,1,2,3,4,5,6,7,8,9,10,11,12
AC inverter output power (W) - Hour 112,12242.2,12242.2,12242.2,12242.2,12369.8,12369.8,12369.8,12369.8,12497.3,12497.3,12497.3,12497.3
AC inverter output power (W) - Hour 113,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 114,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 115,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 116,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 117,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 118,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 119,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 120,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 121,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 122,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 123,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 124,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 125,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 126,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 127,3003.65,3003.65,3003.65,3003.65,3034.94,3034.94,3034.94,3034.94,3066.23,3066.23,3066.23,3066.23
AC inverter output power (W) - Hour 128,9196.2,9196.2,9196.2,9196.2,9291.99,9291.99,9291.99,9291.99,9387.79,9387.79,9387.79,9387.79
AC inverter output power (W) - Hour 129,139243,139243,139243,139243,140693,140693,140693,140693,142143,142143,142143,142143
AC inverter output power (W) - Hour 130,343456,343456,343456,343456,347034,347034,347034,347034,350612,350612,350612,350612
AC inverter output power (W) - Hour 131,200465,200465,200465,200465,202554,202554,202554,202554,204642,204642,204642,204642
AC inverter output power (W) - Hour 132,338167,338167,338167,338167,341689,341689,341689,341689,345212,345212,345212,345212
AC inverter output power (W) - Hour 133,190558,190558,190558,190558,192543,192543,192543,192543,194528,194528,194528,194528
AC inverter output power (W) - Hour 134,58951.9,58951.9,58951.9,58951.9,59566,59566,59566,59566,60180.1,60180.1,60180.1,60180.1
AC inverter output power (W) - Hour 135,21381.6,21381.6,21381.6,21381.6,21604.3,21604.3,21604.3,21604.3,21827,21827,21827,21827
AC inverter output power (W) - Hour 136,4662.98,4662.98,4662.98,4662.98,4711.56,4711.56,4711.56,4711.56,4760.13,4760.13,4760.13,4760.13
AC inverter output power (W) - Hour 137,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 138,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 139,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 140,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 141,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 142,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 143,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 144,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 145,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 146,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 147,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 148,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 149,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 150,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 151,56081,56081,56081,56081,56665.1,56665.1,56665.1,56665.1,57249.3,57249.3,57249.3,57249.3
AC inverter output power (W) - Hour 152,176265,176265,176265,176265,178101,178101,178101,178101,179937,179937,179937,179937
AC inverter output power (W) - Hour 153,272060,272060,272060,272060,274894,274894,274894,274894,277728,277728,277728,277728
AC inverter output power (W) - Hour 154,334740,334740,334740,334740,338227,338227,338227,338227,341713,341713,341713,341713
AC inverter output power (W) - Hour 155,361592,361592,361592,361592,365358,365358,365358,365358,369125,369125,369125,369125
AC inverter output power (W) - Hour 156,350941,350941,350941,350941,354597,354597,354597,354597,358252,358252,358252,358252
AC inverter output power (W) - Hour 157,306267,306267,306267,306267,309457,309457,309457,309457,312647,312647,312647,312647
AC inverter output power (W) - Hour 158,231591,231591,231591,231591,234004,234004,234004,234004,236416,236416,236416,236416
AC inverter output power (W) - Hour 159,125572,125572,125572,125572,126880,126880,126880,126880,128188,128188,128188,128188
AC inverter output power (W) - Hour 160,12406.3,12406.3,12406.3,12406.3,12535.5,12535.5,12535.5,12535.5,12664.8,12664.8,12664.8,12664.8
AC inverter output power (W) - Hour 161,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 162,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 163,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 164,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 165,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 166,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 167,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 168,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 169,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 170,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 171,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 172,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 173,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 174,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 175,58705.1,58705.1,58705.1,58705.1,59316.7,59316.7,59316.7,59316.7,59928.2,59928.2,59928.2,59928.2
AC inverter output power (W) - Hour 176,168766,168766,168766,168766,170524,170524,170524,170524,172282,172282,172282,172282
